street,level,precip,Libur,day,ROAD_CLOSED
Indrayasa,3,1.134,0,Wednesday,0
Inhoftank,2,1.134,0,Wednesday,0
Ir Haji Juanda,2,1.134,0,Wednesday,0
Istana Pasteur Regency,4,1.134,0,Wednesday,0
Jalan ABC,2,1.134,0,Wednesday,0
Jalan Aceh,2,1.134,0,Wednesday,0
Jalan Arcamanik Sindanglaya,2,1.134,0,Wednesday,0
Jalan Banda,2,1.134,0,Wednesday,0
Jalan Belitung,2,1.134,0,Wednesday,0
Jalan Bengawan,2,1.134,0,Wednesday,0
Jalan Bogor,3,1.134,0,Wednesday,0
Jalan Burangrang,2,1.134,0,Wednesday,0
Jalan Cemara,2,1.134,0,Wednesday,0
Jalan Cibadak,3,1.134,0,Wednesday,0
Jalan Cilaki,2,1.134,0,Wednesday,0
Jalan Cilamaya,4,1.134,0,Wednesday,0
Jalan Cimandiri,3,1.134,0,Wednesday,0
Jalan Cimanuk,3,1.134,0,Wednesday,0
Jalan Cimuncang,2,1.134,0,Wednesday,0
Jalan Cisangkuy,2,1.134,0,Wednesday,0
Jalan Citarum,4,1.134,0,Wednesday,0
Jalan Gunung Batu,2,1.134,0,Wednesday,0
Jalan Halmahera,4,1.134,0,Wednesday,0
Jalan Jakarta,2,1.134,0,Wednesday,0
Jalan Jawa,2,1.134,0,Wednesday,0
Jalan Jurang,2,1.134,0,Wednesday,0
Jalan Kebonjati,3,1.134,0,Wednesday,0
Jalan Lombok,2,1.134,0,Wednesday,0
Jalan Malabar,3,1.134,0,Wednesday,0
Jalan Natuna,2,1.134,0,Wednesday,0
Jalan Patuha,3,1.134,0,Wednesday,0
Jalan Progo,3,1.134,0,Wednesday,0
Jalan Purwakarta,2,1.134,0,Wednesday,0
Jalan Raya Bojongsoang,4,1.134,0,Wednesday,0
Jalan Raya Dayeuhkolot,2,1.134,0,Wednesday,0
Jalan Raya Lembang,3,1.134,0,Wednesday,0
Jalan Raya Sapan,3,1.134,0,Wednesday,0
Jalan Rumah Sakit,1,1.134,0,Wednesday,0
Jalan Sabang,4,1.134,0,Wednesday,0
Jalan Seram,3,1.134,0,Wednesday,0
Jalan Serayu,4,1.134,0,Wednesday,0
Jalan Sukabumi,3,1.134,0,Wednesday,0
Jalan Sukanegara,4,1.134,0,Wednesday,0
Jalan Sumatra,3,1.134,0,Wednesday,0
Jalan Sumbawa,2,1.134,0,Wednesday,0
Jalan Sunda,3,1.134,0,Wednesday,0
Jalan Ternate,1,1.134,0,Wednesday,0
Jamika,3,1.134,0,Wednesday,0
Jatihandap,2,1.134,0,Wednesday,0
Jatihandap Timur,3,1.134,0,Wednesday,0
Jenderal AH Nasution,3,1.134,0,Wednesday,0
Jenderal Ahmad Yani,3,1.134,0,Wednesday,0
Jenderal Haji Amir Machmud,3,1.134,0,Wednesday,0
Jenderal Ibrahim Adjie,2,1.134,0,Wednesday,0
Jenderal Sudirman,3,1.134,0,Wednesday,0
KH Ahmad Dahlan,3,1.134,0,Wednesday,0
KH Wahid Hasyim,5,1.134,0,Wednesday,1
Kalipah Apo,3,1.134,0,Wednesday,0
Kamuning,3,1.134,0,Wednesday,0
Kapten Tata Natanegara,4,1.134,0,Wednesday,0
Karang Sari,3,1.134,0,Wednesday,0
Karang Tinggal,1,1.134,0,Wednesday,0
Karapitan,2,1.134,0,Wednesday,0
